Nom de l'offre touristique;Type de l'offre;Adresse partie 2;Code postal;Nom de la commune;Code Insee de la Commune;Latitude;Longitude;localisation;email;N° de téléphone mobile;Url du site web;information 1;information 2
CHAMBRES D'HOTES MME RACOUPEAU AURELIE;Chambres d'hôtes;9 chemin des Landes;44690;LA HAIE-FOUASSIERE;44070;47.154986;-1.399623;47.154986, -1.399623;;06 77 10 08 50;;   ;  Non classé 
LE MOULIN DE PLAISANCE;Meublés;;44360;CORDEMAIS;44045;47.3192758;-1.7943788;47.3192758, -1.7943788;;06 87 69 24 93;;Maison Animal non accepté  Piscine,WiFi;Entrée indépendante,Jardin indépendant,Parking,Sanitaires privés,Terrasse / Balcon Equipement bébé,Lave vaisselle,Micro ondes  Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)
GÎTE DE LA GUICHARDIERE;Meublés;;44170;VAY;44214;47.5467917;-1.7276398;47.5467917, -1.7276398;;06 66 37 62 65;http://www.gitedelaguichardiere.fr;Maison   Parc/jardin;Entrée indépendante,Jardin indépendant,Terrain clos,Terrasse / Balcon Equipement bébé Non classé 
GÎTE DE LA ROYERE;Meublés;;44440;PANNECE;44118;47.4893221;-1.1633488;47.4893221, -1.1633488;;;;Maison   ;   
Appartement  4 personnes - Mme Dulon Saint-Paul;Meublés;1 rue Victor hugo;44490;LE CROISIC;44049;47.28985;-2.50925;47.28985, -2.50925;;;;Appartement Animal admis  ;Jardin indépendant,Local vélo,Plain Pied,Terrain clos,Terrasse / Balcon Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes 2 étoiles Fourniture de draps (gratuit),Location de draps
Location de vacances - Appartement 4 personnes - Les Marsouins n°1;Meublés;10 boulevard des Marsouins;44510;LE POULIGUEN;44135;47.26067;-2.43599;47.26067, -2.43599;;06 36 13 28 45;;Appartement Animal non accepté  ;Jardin indépendant,Parking,Plain Pied,Terrain clos,Terrasse / Balcon Equipement bébé,Lave vaisselle,Micro ondes 3 étoiles Location de draps,Location de linge
MAISON D'HÔTES IL ÉTAIT UNE FOIS CHEZ MOI;Chambres d'hôtes;10 route de Nantes;44430;LE LOROUX-BOTTEREAU;44084;47.2383086;-1.3529559;47.2383086, -1.3529559;;06 51 02 09 91;http://www.iletaitunefoischezmoi.fr/;Maison Animal non accepté  Parc/jardin,WiFi;Entrée indépendante,Parking,Plain Pied,Sanitaires privés,Terrain clos,Toilettes séparées  Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit)
L'ÉVASION LOFT;Chambres d'hôtes;10 Rue des Pierres Giraud;44260;PRINQUIAU;44137;47.3691244;-2.0234844;47.3691244, -2.0234844;;06 33 13 49 83;https://levasion-loft.fr/;Maison   Espace bien-être,WiFi;Entrée indépendante,Parking,Sanitaires privés  Non classé 
GITE CHEZ MARIE-JO;Meublés;11 Villauger;44590;SION-LES-MINES;44197;47.75773;-1.61735;47.75773, -1.61735;;06 07 67 62 30;https://www.chezmariejo.net/;   WiFi; Lave linge  Location/prêt de vélo
Maison 5 personnes *** - HERPE Nathalie;Meublés;13 bis avenue des Peupliers;44380;PORNICHET;44132;47.25372;-2.33352;47.25372, -2.33352;;06 30 55 71 96;;Maison   ;Plain Pied Equipement bébé,Lave linge,Lave vaisselle,Micro ondes 3 étoiles 
GITE L'ATELIER;Meublés;14 Grande Route de la Trinité;44190;CLISSON;44043;47.08871;-1.2779;47.08871, -1.2779;;;;   ;   
Appartement 4 personnes - M. Thevenot;Meublés;14 rue de La Plage;44510;LE POULIGUEN;44135;47.27388;-2.42488;47.27388, -2.42488;;06 13 50 90 51;;Appartement Animal non accepté  ;Local vélo,Terrasse / Balcon,Toilettes séparées Lave linge,Sèche linge,Lave vaisselle,Micro ondes 3 étoiles Fourniture de draps (gratuit)
PIED À TERRE;Chambres d'hôtes;17 rue Saint-Gilles;44560;PAIMBOEUF;44116;47.28843;-2.03369;47.28843, -2.03369;;06 87 52 00 10;https://pied-a-terre.sitew.fr/;Maison   WiFi;Parking Equipement bébé  
CHAMBRE DU GARDIEN;Chambres d'hôtes;2 Le Thiemay;44130;FAY-DE-BRETAGNE;44056;47.3507117;-1.7995819;47.3507117, -1.7995819;;07 70 50 41 76;https://www.thiemay.fr/;Châteaux et demeures de prestige Animal admis  ;Entrée indépendante,Parking,Plain Pied  Non classé Location de linge
AR MILIN/LE NID/LE RAFLO;Meublés;22 Lieu-dit le moulin de la Haie Mériais;44360;CORDEMAIS;44045;47.30772;-1.82116;47.30772, -1.82116;;06 43 40 84 97;https://www.gites-ar-milin.com/;   ;   
Location de vacances - Gîte 2 personnes - Côte mer;Meublés;26 chemin Thobie;44350;GUERANDE;44069;47.32673;-2.43759;47.32673, -2.43759;;;http://www.auxgitesdemaelle.com;Maison   ;Parking,Plain Pied,Terrain clos,Terrasse / Balcon,Toilettes séparées Equipement bébé,Lave linge,Sèche linge,Lave vaisselle 2 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit)
GÎTES NANTES GRAND LIEU GÎTE TERRASSE;Meublés;29 Rue de Nantes;44860;PONT-SAINT-MARTIN;44130;47.12503;-1.58333;47.12503, -1.58333;;;http://www.gitenantesgrandlieu.fr;Maison   Parc/jardin,WiFi;Entrée indépendante,Garage,Jardin indépendant,Local vélo,Parking,Plain Pied,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes Non classé Fourniture de draps (gratuit),Option nettoyage
GITE DE LA CHARMELIERE - LE CHARME CHIC ET TENDANCE;Meublés;3 impasse de la Charmelière;44470;CARQUEFOU;44026;47.2992588;-1.4756171;47.2992588, -1.4756171;;06 80 24 78 37;www.gites-charmeliere-44.fr;Maison Animal admis  Parc/jardin,WiFi;Entrée indépendante,Jardin indépendant,Parking,Plain Pied,Sanitaires privés,Terrain clos,Terrasse / Balcon Equipement bébé,Lave linge,Lave vaisselle,Micro ondes 1 étoile Location de draps,Option nettoyage
GITE LA GRAVOIRE;Meublés;3 la Gravoire;44330;VALLET;44212;47.1592078;-1.1958354;47.1592078, -1.1958354;;;;Maison Animal non accepté  WiFi;Sanitaires privés,Terrasse / Balcon,Toilettes séparées   
LA PERLE DE L'OCEAN;Meublés;3 Route de Ker Jacot - Parc d'Armor 2;44740;BATZ-SUR-MER;44010;47.27011;-2.44562;47.27011, -2.44562;;06 81 31 06 60;;Maison Animal non accepté  ;Parking,Terrain clos,Terrasse / Balcon,Toilettes séparées Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes 2 étoiles 
