Type-Activité;Activité;Nom de l'établissement;Adresse de l'établissement;Code postal;Commune;Code insee;Latitude;Longitude;localisation;Adresse mail;Tél;Site Web;Complément_1;Complément_2
Patrimoine culturel;Musée et centre d'interprétation;Muséum d'histoire naturelle;12 rue Voltaire;44000;BATZ-SUR-MER;44010;47.21252;-1.56476;47.21252, -1.56476;;02 40 41 55 00;https://museum.nantesmetropole.fr/;;
Patrimoine culturel;Site et monument historiques;ACHRONIE 39 - MARION VERBOOM;9 Rue de la Bâclerie;44000;NANTES;44109;47.21531;-1.55349;47.21531, -1.55349;;;https://www.levoyageanantes.fr/oeuvres/achronie-39/;;
Patrimoine culturel;Parc et jardin;AIRE DE JEUX - KINYA MARUYAMA;Cours John Kennedy;44000;NANTES;44109;47.2141977;-1.5506688;47.2141977, -1.5506688;;;https://www.levoyageanantes.fr/lieux/aire-de-jeux/;;
Activités culturelles;Lieux d'Art Contemporains;Amac;28 ter rue des Olivettes;44000;NANTES;44109;47.210164;-1.549061;47.210164, -1.549061;"celine.guimbertaud@amac-web.com ; virginie.lardiere@amac-web.com";"02 40 48 55 38 ; 01 71 76 63 97";;;
Patrimoine culturel;Architecture;Ancien atelier de fabrication de lingerie, 20 rue de la Tannerie, Nantes;;44000;NANTES;44109;47.199485090888494;-1.5879279114380076;47.199485090888494, -1.5879279114380076;;;;1er quart 20e siècle;Dans les années 1910-1920, un permis est accordée à Monsieur Mizhari, pour construire un garage et une fabrique de produits chimiques. Une maison de maître est située en contrebas de la fabrique. Jusqu'en 1980, le dernier étage du bâtiment sous sheds, sert d'atelier de fabrication de lingerie et corsets. En 2013, l'ensemble a été réhabilité en logements.
Patrimoine culturel;Architecture;Anciens chantiers navals Dubigeon, 3 à 23 boulevard de Chantenay;;44000;NANTES;44109;47.19696006735897;-1.5870086149314782;47.19696006735897, -1.5870086149314782;;;;2e moitié 19e siècle;"Dès 1841, Dubigeon, famille constructrice de navires depuis le milieu du XVIIIe siècle en bordure de Chézine, à Nantes, s'installe à Chantenay. Ils achètent des terrains à la famille Crucy en bordure du canal de Chantenay, construit par les propriétaires, à des fins d'activités industrielles et portuaires. Ces terrains accueillent déjà des activités industrielles, dont celles des établissements Derrien, activité d'engrais et de noir animal. Ce dernier établissement fermera à la fin du XIXe siècle. Les terrains seront alors occupés par le chantier naval, qui à cette époque continue son extension vers les bords de la Loire. Théodore Dubigeon, maire de Chantenay entre 1852 et 1870 s'associe à ses fils sous la dénomination sociale de Théodore Dubigeon et fils, constructions en bois, en fer, et bateaux à vapeur. Les travaux de comblement du canal de Chantenay s'achèvent en 1895, dans le cadre de l'établissement du boulevard de Ceinture. L'entreprise se tourne définitivement vers la Loire. Les chantiers Dubigeon sont rachetés en 1917 par les Ateliers et chantiers de la Loire (ACL, installés à la Prairie au Duc) et prend la dénomination sociale d'Anciens Chantiers Dubigeon. Ce rachat permet la modernisation du chantier qui passe par la démolition et construction de nouveaux bâtiments (sous-station électrique et salle à tracer, bâtiments encore présents aujourd'hui), la modernisation de l'appareil de production. La construction métallique devenant plus que majoritaire à partir de cette période. L'entreprise rachète les bâtiments de la savonnerie Magra en 1938, qu'elle reconvertit en magasins, puis continue son expansion à l'ouest (ancien slip-way) et à l'est par des achats de terrain et des constructions diverses. Les bâtiments sont successivement occupés par le Cernat (réparation navale), puis les Chantiers de l'Esclain. En 2012, les parcelles possèdent des propriétaires et activités différents (chantier naval, artisanat, petite industrie, profession libérale) ; c'est notamment le cas des créateurs de l'ouest qui occupent différents espaces, conscients de l'histoire industrielle du site.Activité de l'entreprise :Avec Théodore Dubigeon, dans les années 1870, l'activité des chantiers s'adapte au système de la propulsion à la vapeur, avec le passage à la construction métallique de bateaux. Sous la direction de l'un de ses fils, Adolphe Dubigeon, la société réalise toujours de grands voiliers, tel le Bélem, lancé en 1896 et encore navigant, et diversifie sa production en construisant des torpilleurs pour la Marine Nationale. En 1883, les chantiers Dubigeon emploient 260 ouvriers et une vingtaine de mineurs pour des journées de 10 heures de travail. En 1902, ils seront 650 ouvriers. Suite au rachat par les Ateliers et chantiers de la Loire, les Anciens Chantiers Dubigeon reçoivent des commandes de constructions et réparations de la part des ministères de la Marine et des Colonies. Après la Seconde Guerre mondiale, elle obtient de nombreuses commandes de bateaux pour la flotte de pêche, qui doit se reconstruire. Les années 1950 sont prospères : les Anciens Chantiers Dubigeon se modernisent et construisent des navires plus gros, tels que des ferrys. En 1963, le chantier prend le nom de Dubigeon Normandie, suite à son rapprochement avec la société Loire-Normandie. En 1969, les chantiers de l'industrie navale nantaise fusionnent leur activité sur un seul site à la Prairie au Duc, sur l'actuelle Île de Nantes. En 1986, ils cessent toute activité à Nantes et la production est transférée à Saint-Nazaire (Chantiers de l'Atlantique).Politique familiale et sociale de l'entreprise :Théodore Dubigeon, chevalier de la Légion d'honneur en 1868, est maire de Chantenay de 1852 à 1870, et président du conseil d'arrondissement de Nantes. Il fait partie de la société électorale de Sainte-Croix, qui s'inspire des catholiques sociaux et est liée au capitalisme commercial. Il est aussi armateur et possède une flotte, au nombre de 12 navires, en 1853. En 1855-1956, il fait construire (ou modernise) à Vertou le château de l'Angebardière, datant du XVIIIe siècle, intégrant dans ses jardins des fabriques : grotte, charmille, orangerie, bassin, oratoire, et un embarcadère. Son fils Adolphe, chevalier de la Légion d'honneur en 1895, continue la modernisation des chantiers et la diversification de la production. Au milieu du XXe siècle, les Anciens Chantiers Dubigeon ont un Comité d'Entreprise et une bibliothèque. Pendant la guerre, une caisse de solidarité est créée, assistant socialement les familles en difficulté. Une caisse de mutuelle de secours, créée par le personnel, compense le manque à gagner d'une interruption de travail ; la ""Société Coopérative du Personnel des Anciens Chantiers Dubigeon"" est créée. L'apprentissage est organisé par les ACD : il commence vers 15 ans et dure au minimum trois ans. Chaudronnier, traceur, ajusteur et tourneur sont les métiers enseignés. Les ouvriers, notamment les riveurs, travaillent dans des conditions assez difficiles."
Activités Touristiques;Atelier de cuisine;APERIO GAME;  11 rue de la Clavurerie ;44000;NANTES;44109;47.215704;-1.557046;47.215704, -1.557046;contact@aperio.games;09 83 40 11 11;https://aperio.games/;;
Activités Touristiques;Thalassothérapie - SPA;AQUA BIEN ETRE;Boulevard du Petit Port;44000;NANTES;44109;47.2419735;-1.556578;47.2419735, -1.556578;;02 40 08 88 98;www.aquabienetre.fr;Thalassothérapie;
Activités culturelles;Lieux d'Art Contemporains;Atelier Millefeuilles;30 quai des Antilles;44000;NANTES;44109;47.203369;-1.57187;47.203369, -1.57187;millefeuillesproduction@gmail.com;02 51 82 99 18;;;
Activités culturelles;Salles de Spectacles;AUDITORIUM DU CONSERVATOIRE REGIONAL;4 rue Gaëtan Rondeau;44000;NANTES;44109;47.2069999;-1.5331214;47.2069999, -1.5331214;0;02.51.25.00.20;#N/A;;
